n_atoms,fcc_bulk,hcp_bulk,five_fold_axis,ico_center,deca_notch,fcc_111,fcc_100,five_fold_surf_edge,fcc_10_edge,fcc_11_edge,deca_notch_vertex,ico_surf_vertex,tetra_edge,trun_oct_vertex,cubo_corner,n_atoms_unk,bulk_atoms,surface_atoms,type
171,5,16,4,0,0,17,1,22,4,1,7,3,0,9,0,82,21,150,3
171,26,34,4,0,3,20,11,14,17,0,10,1,0,13,1,17,60,111,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,0,0,0,3,0,0,5,0,0,9,9,0,4,0,141,0,171,3
171,2,34,23,1,0,17,0,31,2,0,17,5,0,6,0,33,36,135,1
171,25,31,5,0,5,22,6,19,21,1,5,2,1,14,0,14,56,115,0
171,5,36,22,1,1,20,0,34,2,0,16,8,0,8,0,18,41,130,1
171,26,31,4,0,7,23,5,12,12,4,13,1,0,21,0,12,57,114,0
171,26,33,5,0,5,21,9,19,18,0,6,2,0,15,0,12,59,112,0
171,27,32,5,0,6,22,7,19,22,0,5,2,0,14,0,10,59,112,0
171,3,10,4,1,1,10,0,18,2,2,9,7,0,5,0,99,13,158,3
171,26,29,5,0,11,27,1,16,10,7,9,2,0,19,0,9,55,116,0
171,4,6,0,0,2,2,1,5,3,4,10,3,0,13,0,118,10,161,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,1,1,0,0,1,2,0,4,1,2,12,7,0,2,0,138,2,169,3
171,4,36,24,1,2,19,0,43,3,0,7,10,0,6,0,16,40,131,1
171,0,1,1,2,1,0,0,1,0,4,8,7,0,2,0,144,1,170,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,6,22,7,19,22,0,5,2,0,14,0,10,59,112,0
171,27,30,5,0,8,22,5,16,13,2,11,2,0,21,1,8,57,114,0
171,0,2,1,0,0,2,0,8,1,3,9,4,0,4,0,137,2,169,3
171,25,34,5,0,3,20,11,19,15,0,5,2,0,14,0,18,59,112,0
171,27,33,4,0,5,22,9,14,20,0,10,1,0,14,0,12,60,111,0
171,27,32,5,0,5,21,9,18,19,0,7,2,0,14,1,11,59,112,0
171,27,32,5,0,7,22,6,18,18,1,6,2,0,15,0,12,59,112,0
171,25,31,4,0,5,21,6,12,10,4,13,1,0,20,0,19,56,115,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,26,31,5,0,3,20,10,17,12,2,8,2,0,15,1,19,57,114,0
171,25,34,4,0,1,19,12,13,14,1,7,1,0,15,0,25,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,2,2,0,1,1,1,1,0,1,16,4,0,3,0,139,2,169,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,25,32,4,0,6,22,5,13,11,2,11,1,0,20,0,19,57,114,0
171,27,32,5,0,7,22,6,18,18,1,6,2,0,15,0,12,59,112,0
171,14,32,12,0,1,12,2,10,4,5,7,1,0,13,1,57,46,125,0
171,26,31,4,0,5,24,6,13,12,4,10,1,0,18,0,17,57,114,0
171,26,33,5,0,4,21,9,19,18,0,4,2,0,15,0,15,59,112,0
171,0,0,0,1,1,5,0,6,1,2,12,10,0,5,0,128,0,171,3
171,26,31,3,0,5,21,6,7,11,3,17,0,0,20,1,20,57,114,0
171,0,0,2,2,0,3,0,3,0,2,13,5,0,0,0,141,0,171,3
171,26,31,5,0,7,22,4,17,14,3,9,2,0,18,1,12,57,114,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,2,2,0,1,3,1,0,3,1,1,13,6,0,5,0,133,4,167,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,0,0,2,0,0,0,6,0,2,9,7,0,2,0,143,0,171,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,1,3,1,0,3,2,0,10,0,2,9,6,0,4,0,130,4,167,3
171,26,33,5,0,4,21,11,18,15,1,6,2,0,16,0,13,59,112,0
171,26,34,4,0,5,21,9,15,20,0,10,1,0,13,0,13,60,111,0
171,27,32,5,0,6,22,7,19,22,0,5,2,0,14,0,10,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,2,0,0,2,4,0,16,1,1,12,6,0,3,0,124,2,169,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,26,32,5,0,5,21,8,18,15,2,6,2,0,15,0,16,58,113,0
171,0,28,21,1,0,15,0,42,0,0,3,10,0,4,1,46,28,143,1
171,0,0,1,0,1,2,0,4,0,2,12,9,0,4,0,136,0,171,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,6,22,7,19,22,0,5,2,0,14,0,10,59,112,0
171,23,34,5,0,4,19,6,19,11,0,4,2,0,16,0,28,57,114,0
171,27,32,5,0,6,22,7,19,22,0,5,2,0,14,0,10,59,112,0
171,26,34,4,0,3,21,11,14,16,0,9,1,0,15,0,17,60,111,0
171,27,31,4,0,8,27,4,13,17,4,11,1,0,16,0,8,58,113,0
171,26,33,5,0,3,21,11,18,14,0,5,2,0,17,0,16,59,112,0
171,5,8,1,0,2,4,2,11,6,0,7,3,0,5,0,117,13,158,3
171,0,0,0,0,0,1,0,4,0,2,9,6,0,3,0,146,0,171,3
171,32,27,4,0,2,21,5,7,17,2,4,1,0,21,0,28,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,7,22,5,18,18,0,6,2,0,16,0,13,59,112,0
171,0,2,1,0,0,1,0,5,0,2,10,9,0,4,0,137,2,169,3
171,0,3,1,1,1,4,0,5,2,1,13,4,1,5,0,130,3,168,3
171,0,1,3,1,1,0,0,6,0,1,12,8,0,2,0,136,1,170,3
171,27,32,5,0,6,22,7,19,22,0,5,2,0,14,0,10,59,112,0
171,26,33,5,0,3,21,11,18,14,0,5,2,0,17,0,16,59,112,0
171,27,31,4,0,7,25,6,12,13,5,12,1,0,18,0,10,58,113,0
171,0,1,0,1,1,4,0,9,0,4,7,5,0,4,0,135,1,170,3
171,27,32,5,0,7,22,6,18,18,1,6,2,0,15,0,12,59,112,0
171,27,31,4,0,7,25,6,12,13,5,12,1,0,18,0,10,58,113,0
171,26,31,5,0,6,24,6,17,11,5,6,2,0,19,0,13,57,114,0
171,27,33,4,0,4,22,11,13,16,0,11,1,0,16,0,13,60,111,0
171,52,9,0,0,1,38,0,1,14,9,4,0,0,26,1,16,61,110,2
171,0,0,0,0,1,1,0,3,1,1,9,6,0,6,0,143,0,171,3
171,1,2,4,0,2,4,1,10,1,0,5,8,0,4,0,129,3,168,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,3,32,24,1,0,14,0,22,0,0,22,7,0,6,1,39,35,136,1
171,26,32,3,0,3,22,10,7,10,5,19,0,0,16,1,17,58,113,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,26,33,5,0,5,21,9,19,18,0,6,2,0,15,0,12,59,112,0
171,13,26,5,0,1,13,4,10,8,0,10,2,0,14,0,65,39,132,3
171,0,1,2,1,3,0,0,2,0,2,13,8,0,3,0,136,1,170,3
171,26,33,5,0,5,21,10,18,16,0,5,2,0,16,0,14,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,26,33,5,0,4,21,9,19,18,0,4,2,0,15,0,15,59,112,0
171,27,30,5,0,10,25,3,17,16,3,9,2,0,19,0,5,57,114,0
171,0,0,1,1,0,0,0,1,0,2,10,6,0,1,0,149,0,171,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,33,4,0,5,22,9,14,20,0,10,1,0,14,0,12,60,111,0
171,27,30,5,0,9,24,4,16,14,4,10,2,0,20,0,6,57,114,0
171,25,34,4,0,1,20,12,15,18,2,9,1,0,10,0,20,59,112,0
171,5,36,22,1,0,20,0,31,2,0,19,8,0,8,0,19,41,130,1
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,1,1,3,1,0,6,0,21,0,6,7,8,0,2,1,114,2,169,3
171,4,35,25,1,1,18,0,47,2,0,3,11,0,6,1,17,39,132,1
171,26,34,4,0,4,21,9,15,20,0,8,1,0,13,0,16,60,111,0
171,26,31,4,0,6,20,6,12,13,1,12,1,0,18,2,19,57,114,0
171,26,32,4,0,5,24,6,13,12,4,9,1,0,18,0,17,58,113,0
171,1,3,1,0,2,2,1,6,2,3,8,7,0,3,0,132,4,167,3
171,0,0,0,0,0,0,0,3,0,1,4,10,0,0,0,153,0,171,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,34,21,2,0,3,17,1,3,9,4,9,0,0,25,2,41,55,116,0
171,3,21,7,0,1,17,1,32,6,0,7,5,0,2,0,69,24,147,3
171,27,33,4,0,2,20,11,13,18,0,11,1,0,12,2,17,60,111,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,22,14,1,0,21,0,43,0,0,10,8,0,1,0,51,22,149,1
171,0,21,16,1,0,17,0,43,0,0,3,10,0,1,0,59,21,150,3
171,0,0,3,0,0,2,0,8,0,1,8,8,0,5,0,136,0,171,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,4,21,11,17,15,0,8,2,0,16,1,12,59,112,0
171,0,4,0,1,0,3,0,3,1,1,6,6,1,4,0,141,4,167,3
171,27,30,5,0,9,24,4,16,14,4,10,2,0,20,0,6,57,114,0
171,27,33,4,0,5,22,9,14,20,0,10,1,0,14,0,12,60,111,0
171,27,32,5,0,5,21,9,18,19,0,7,2,0,14,1,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,17,33,10,0,3,14,3,9,9,2,16,2,0,12,1,40,50,121,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,3,1,0,0,2,0,6,0,0,10,5,1,1,0,142,3,168,3
171,44,18,0,0,1,20,6,1,17,3,6,0,0,24,2,29,62,109,2
171,26,33,5,0,4,21,9,19,18,0,4,2,0,15,0,15,59,112,0
171,0,0,0,0,0,1,0,5,0,0,10,10,0,0,0,145,0,171,3
171,24,34,5,0,4,21,10,19,16,0,8,2,0,13,0,15,58,113,0
171,43,20,1,0,0,24,6,0,20,2,10,0,0,23,0,22,63,108,2
171,27,32,5,0,7,22,6,18,18,1,6,2,0,15,0,12,59,112,0
171,23,32,5,0,7,22,6,20,16,0,10,2,0,12,0,16,55,116,0
171,0,19,10,0,0,16,0,32,0,2,11,8,0,1,0,72,19,152,3
171,25,31,4,0,5,23,4,13,15,4,12,1,0,17,0,17,56,115,0
171,27,32,5,0,7,20,7,17,20,0,6,2,0,16,0,12,59,112,0
171,26,33,5,0,5,21,9,19,18,0,6,2,0,15,0,12,59,112,0
171,0,0,3,0,1,3,0,16,0,3,11,12,0,0,0,122,0,171,3
171,27,33,4,0,4,22,11,13,16,0,11,1,0,16,0,13,60,111,0
171,22,31,5,0,5,20,3,18,11,0,12,2,0,18,0,24,53,118,0
171,27,33,4,0,4,22,11,13,16,0,11,1,0,16,0,13,60,111,0
171,27,31,4,0,8,23,5,12,14,2,13,1,0,21,0,10,58,113,0
171,25,32,5,0,6,21,5,18,11,1,6,2,0,22,0,17,57,114,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,1,1,0,0,2,0,10,0,3,10,5,0,5,0,134,1,170,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,0,2,4,0,0,2,0,5,0,2,7,10,0,2,0,137,2,169,3
171,0,1,2,0,2,3,0,13,1,3,9,9,2,5,0,121,1,170,3
171,24,33,4,0,0,19,11,13,10,2,9,1,0,14,0,31,57,114,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,26,33,5,0,6,21,8,19,20,0,4,2,0,14,0,13,59,112,0
171,26,33,5,0,4,21,9,19,18,0,4,2,0,15,0,15,59,112,0
171,26,32,5,0,6,21,5,18,15,3,5,2,0,14,0,19,58,113,0
171,0,0,0,1,2,0,0,1,1,5,9,9,0,3,1,139,0,171,3
171,27,33,4,0,5,22,9,14,20,0,10,1,0,14,0,12,60,111,0
171,26,32,5,0,3,20,12,17,13,0,7,2,0,16,1,17,58,113,0
171,24,33,5,0,2,20,9,19,19,0,5,2,0,10,1,22,57,114,0
171,3,4,0,0,1,4,0,9,2,5,12,6,0,3,0,122,7,164,3
171,1,4,4,0,1,2,1,11,3,1,11,6,0,7,1,118,5,166,3
171,27,33,4,0,4,22,11,13,16,0,11,1,0,16,0,13,60,111,0
171,26,33,5,0,5,20,9,19,19,0,7,2,0,13,1,12,59,112,0
171,25,34,3,0,0,21,12,9,17,0,16,0,0,10,1,23,59,112,0
171,1,3,0,1,1,1,0,3,2,1,7,10,0,2,1,138,4,167,3
171,26,33,5,0,4,21,9,19,18,0,4,2,0,15,0,15,59,112,0
171,0,4,3,1,0,4,0,14,0,0,9,9,0,0,0,127,4,167,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,31,5,0,5,21,8,17,15,1,8,2,0,15,1,15,58,113,0
171,0,0,1,1,0,0,0,3,0,4,13,10,2,2,1,134,0,171,3
171,27,33,4,0,5,22,9,14,20,0,10,1,0,14,0,12,60,111,0
171,27,33,4,0,4,22,11,13,16,0,11,1,0,16,0,13,60,111,0
171,9,19,6,0,0,10,2,16,9,1,12,4,0,5,3,75,28,143,3
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,26,33,5,0,4,21,9,19,18,0,4,2,0,15,0,15,59,112,0
171,27,32,5,0,7,22,6,18,18,1,6,2,0,15,0,12,59,112,0
171,25,32,4,0,0,18,11,12,12,2,12,1,0,13,2,27,57,114,0
171,26,33,5,0,5,21,9,19,18,0,6,2,0,15,0,12,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,7,22,6,18,18,1,6,2,0,15,0,12,59,112,0
171,27,30,5,0,10,26,4,17,16,4,9,2,0,18,0,3,57,114,0
171,26,31,4,0,7,23,5,12,13,4,13,1,0,19,0,13,57,114,0
171,26,30,5,0,8,23,5,16,12,4,9,2,0,19,0,12,56,115,0
171,27,33,4,0,5,22,9,14,20,0,10,1,0,14,0,12,60,111,0
171,2,3,1,0,0,5,1,9,5,0,7,4,1,2,0,131,5,166,3
171,26,33,4,0,2,20,11,14,18,1,9,1,0,12,1,19,59,112,0
171,27,32,5,0,5,22,9,18,18,0,6,2,0,16,0,11,59,112,0
171,27,32,5,0,7,22,6,18,19,0,7,2,0,16,0,10,59,112,0
171,0,1,0,0,1,3,0,8,1,1,8,6,0,7,0,135,1,170,3
